"","State.Code","AvgCostToRevenue","AvgRevenuePerBed"
"1","AL",0.25677274810566,3.39389941565637
"2","AR",0.249012158860639,2.33503945205421
"3","AZ",0.371980834738744,4.1038787730093
"4","CA",0.232010441996014,5.41903291958654
"5","CO",0.424757545985064,5.59079482736799
"6","CT",0.323120902845709,6.73081867405618
"7","DE",0.289067298564498,6.37665561350896
"8","FL",0.248110230183231,4.21918094792292
"9","GA",0.236880326661811,4.62500325768724
"10","HI",1.33687329346069,2.09128192777778
"11","IA",0.420057409058173,3.21261488433316
"12","ID",0.262789460346284,5.37654411201169
"13","IL",0.322481130980281,3.77745828110005
"14","IN",0.256065796330271,3.40570418955639
"15","KS",0.618161910277145,2.49337179846068
"16","KY",0.269129481963505,3.46210211733197
"17","LA",0.312386016928742,5.43237071209934
"18","MA",0.373629857450245,4.30790051347724
"19","MD",0.705274383502905,1.36944301467807
"20","ME",0.467997972313532,2.23600644
"21","MI",0.313232573271106,3.65236323853396
"22","MN",0.424493989645201,4.1047557173291
"23","MO",0.2473062446886,3.70473140968605
"24","MS",0.380974110824584,2.24056035384047
"25","MT",0.853554959293884,1.61728508906431
"26","NC",0.266538869379123,3.83558985219942
"27","ND",0.671704173784606,0.722821069502262
"28","NE",0.449579802173764,3.55895472421215
"29","NH",0.323722078109507,5.79417303238248
"30","NJ",0.164050104375775,5.17768278277704
"31","NM",0.352362874988784,1.07869858192221
"32","NV",0.287004299220258,3.60948882979565
"33","NY",0.362340969106149,3.18105245871975
"34","OH",0.312859434318341,3.41320733209129
"35","OK",0.39881877694411,0.997334953571427
"36","OR",0.349150705236787,4.4402581833771
"37","PA",0.264530612920844,3.81669508372149
"38","SC",0.294747107269423,2.62240898861106
"39","SD",0.563605473038336,0.984112685555556
"40","TN",0.376039216209416,2.55186847848103
"41","TX",0.356497100390163,3.26199536298832
"42","UT",0.25342360142432,4.60399411394161
"43","VA",0.291109272147329,3.68119087966529
"44","WA",0.305240128447052,3.80347887373599
"45","WI",0.360470912148703,3.36876602338808
"46","WV",0.348904304688799,2.25579120803884
"47","WY",0.421699973029133,7.98106696
